,Unnamed: 0,Title,Description,Link
54,54,"Introduction to Computational Thinking with Julia, with Applications to Modeling the COVID-19 Pandemic",,https://ocw.mit.edu/courses/18-s190-introduction-to-computational-thinking-with-julia-with-applications-to-modeling-the-covid-19-pandemic-spring-2020/
55,55,Advanced Topics in Cryptography,"The topics covered in this course include interactive proofs, zero-knowledge proofs, zero-knowledge proofs of knowledge, non-interactive zero-knowledge proofs, secure protocols, two-party secure computation, multiparty secure computation, and chosen-ciphertext security.",https://ocw.mit.edu/courses/6-876j-advanced-topics-in-cryptography-spring-2003/
56,56,Quantum Complexity Theory,"This course is an introduction to quantum computational complexity theory, the study of the fundamental capabilities and limitations of quantum computers. Topics include complexity classes, lower bounds, communication complexity, proofs, advice, and interactive proof systems in the quantum world. The objective is to bring students to the research frontier.",https://ocw.mit.edu/courses/6-845-quantum-complexity-theory-fall-2010/
57,57,Applied Superconductivity,"This course provides a phenomenological approach to superconductivity, with emphasis on superconducting electronics. Topics include: electrodynamics of superconductors, London’s model, flux quantization, Josephson Junctions, superconducting quantum devices, equivalent circuits, high-speed superconducting electronics, and quantized circuits for quantum computing. The course also provides an overview of type II superconductors, critical magnetic fields, pinning, the critical state model, superconducting materials, and microscopic theory of superconductivity.",https://ocw.mit.edu/courses/6-763-applied-superconductivity-fall-2005/
58,58,Multivariable Control Systems,This course uses computer-aided design methodologies for synthesis of multivariable feedback control systems. Topics covered include: performance and robustness trade-offs; model-based compensators; Q-parameterization; ill-posed optimization problems; dynamic augmentation; linear-quadratic optimization of controllers; H-infinity controller design; Mu-synthesis; model and compensator simplification; and nonlinear effects. The assignments for the course comprise of computer-aided (MATLAB®) design problems.,https://ocw.mit.edu/courses/6-245-multivariable-control-systems-spring-2004/
59,59,Theory of Parallel Hardware (SMA 5511),,https://ocw.mit.edu/courses/6-896-theory-of-parallel-hardware-sma-5511-spring-2004/
60,60,Nonlinear Programming,"6.252J is a course in the department’s “Communication, Control, and Signal Processing” concentration. This course provides a unified analytical and computational approach to nonlinear optimization problems. The topics covered in this course include: unconstrained optimization methods, constrained optimization methods, convex analysis, Lagrangian relaxation, nondifferentiable optimization, and applications in integer programming. There is also a comprehensive treatment of optimality conditions, Lagrange multiplier theory, and duality theory. Throughout the course, applications are drawn from control, communications, power systems, and resource allocation problems.",https://ocw.mit.edu/courses/6-252j-nonlinear-programming-spring-2003/
61,61,Advanced Complexity Theory,"This graduate-level course focuses on current research topics in computational complexity theory. Topics include: Nondeterministic, alternating, probabilistic, and parallel computation models; Boolean circuits; Complexity classes and complete sets; The polynomial-time hierarchy; Interactive proof systems; Relativization; Definitions of randomness; Pseudo-randomness and derandomizations;Interactive proof systems and probabilistically checkable proofs.",https://ocw.mit.edu/courses/18-405j-advanced-complexity-theory-spring-2016/
62,62,Introduction to Algorithms,"This course provides an introduction to mathematical modeling of computational problems. It covers the common algorithms, algorithmic paradigms, and data structures used to solve these problems. The course emphasizes the relationship between algorithms and programming, and introduces basic performance measures and analysis techniques for these problems.",https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2008/
63,63,Design and Analysis of Algorithms,"Techniques for the design and analysis of efficient algorithms, emphasizing methods useful in practice. Topics include sorting; search trees, heaps, and hashing; divide-and-conquer; dynamic programming; greedy algorithms; amortized analysis; graph algorithms; and shortest paths. Advanced topics may include network flow, computational geometry, number-theoretic algorithms, polynomial and matrix calculations, caching, and parallel computing.",https://ocw.mit.edu/courses/6-046j-design-and-analysis-of-algorithms-spring-2012/
64,64,A Gentle Introduction to Programming Using Python,,https://ocw.mit.edu/courses/6-189-a-gentle-introduction-to-programming-using-python-january-iap-2008/
65,65,The Society of Mind,"This course is an introduction to the theory that tries to explain how minds are made from collections of simpler processes. It treats such aspects of thinking as vision, language, learning, reasoning, memory, consciousness, ideals, emotions, and personality. It incorporates ideas from psychology, artificial intelligence, and computer science to resolve theoretical issues such as wholes vs. parts, structural vs. functional descriptions, declarative vs. procedural representations, symbolic vs. connectionist models, and logical vs. common-sense theories of learning.",https://ocw.mit.edu/courses/6-868j-the-society-of-mind-fall-2011/
66,66,Advanced Data Structures,,https://ocw.mit.edu/courses/6-851-advanced-data-structures-spring-2012/
67,67,Probabilistic Systems Analysis and Applied Probability,,https://ocw.mit.edu/courses/6-041-probabilistic-systems-analysis-and-applied-probability-fall-2010/
68,68,"Introduction to Electronics, Signals, and Measurement","The course is designed to provide a practical - hands on - introduction to electronics with a focus on measurement and signals. The prerequisites are courses in differential equations, as well as electricity and magnetism. No prior experience with electronics is necessary. The course will integrate demonstrations and laboratory examples with lectures on the foundations. Throughout the course we will use modern “virtual instruments” as test-beds for understanding electronics. The aim of the course is to provide students with the practical knowledge necessary to work in a modern science or engineering setting.",https://ocw.mit.edu/courses/6-071j-introduction-to-electronics-signals-and-measurement-spring-2006/
69,69,Bioinformatics and Proteomics,"This interdisciplinary course provides a hands-on approach to students in the topics of bioinformatics and proteomics. Lectures and labs cover sequence analysis, microarray expression analysis, Bayesian methods, control theory, scale-free networks, and biotechnology applications. Designed for those with a computational and/or engineering background, it will include current real-world examples, actual implementations, and engineering design issues. Where applicable, engineering issues from signal processing, network theory, machine learning, robotics and other domains will be expounded upon.",https://ocw.mit.edu/courses/6-092-bioinformatics-and-proteomics-january-iap-2005/
70,70,Bioinformatics and Proteomics,"This interdisciplinary course provides a hands-on approach to students in the topics of bioinformatics and proteomics. Lectures and labs cover sequence analysis, microarray expression analysis, Bayesian methods, control theory, scale-free networks, and biotechnology applications. Designed for those with a computational and/or engineering background, it will include current real-world examples, actual implementations, and engineering design issues. Where applicable, engineering issues from signal processing, network theory, machine learning, robotics and other domains will be expounded upon.",https://ocw.mit.edu/courses/6-092-bioinformatics-and-proteomics-january-iap-2005/
71,71,Introduction to Numerical Simulation (SMA 5211),,https://ocw.mit.edu/courses/6-336j-introduction-to-numerical-simulation-sma-5211-fall-2003/
72,72,Theory of Parallel Systems (SMA 5509),,https://ocw.mit.edu/courses/6-895-theory-of-parallel-systems-sma-5509-fall-2003/
73,73,Network Optimization,"15.082J/6.855J/ESD.78J is a graduate subject in the theory and practice of network flows and its extensions. Network flow problems form a subclass of linear programming problems with applications to transportation, logistics, manufacturing, computer science, project management, and finance, as well as a number of other domains. This subject will survey some of the applications of network flows and focus on key special cases of network flow problems including the following: the shortest path problem, the maximum flow problem, the minimum cost flow problem, and the multi-commodity flow problem. We will also consider other extensions of network flow problems.",https://ocw.mit.edu/courses/15-082j-network-optimization-fall-2010/
74,74,Introduction to Bioengineering (BE.010J),Bioengineering at MIT is represented by the diverse curricula offered by most Departments in the School of Engineering. This course samples the wide variety of bioengineering options for students who plan to major in one of the undergraduate Engineering degree programs. The beginning lectures describe the science basis for bioengineering with particular emphasis on molecular cell biology and systems biology. Bioengineering faculty will then describe the bioengineering options in a particular engineering course as well as the type of research conducted by faculty in the department.,https://ocw.mit.edu/courses/20-010j-introduction-to-bioengineering-be-010j-spring-2006/
75,75,Probabilistic Systems Analysis and Applied  Probability,"This course is offered both to undergraduates (6.041) and graduates (6.431), but the assignments differ. 6.041/6.431 introduces students to the modeling, quantification, and analysis of uncertainty. Topics covered include: formulation and solution in sample space, random variables, transform techniques, simple random processes and their probability distributions, Markov processes, limit theorems, and elements of statistical inference.",https://ocw.mit.edu/courses/6-041-probabilistic-systems-analysis-and-applied-probability-spring-2006/
76,76,Distributed Algorithms,,https://ocw.mit.edu/courses/6-852j-distributed-algorithms-fall-2009/
77,77,Seminar in Electric Power Systems,"This course comprises of a seminar on planning and operation of modern electric power systems. Content varies with current interests of instructor and class; emphasis on engineering aspects, but economic issues may be examined too. Core topics include: overview of power system structure and operation; representation of components, including transmission lines, transformers, generating plants, loads; power flow analysis, dynamics and control of multimachine systems, steady-state and transient stability, system protection; economic dispatch; mobile and isolated power systems; computation and simulation.",https://ocw.mit.edu/courses/6-691-seminar-in-electric-power-systems-spring-2006/
78,78,Autonomous Robot Design Competition,,https://ocw.mit.edu/courses/6-270-autonomous-robot-design-competition-january-iap-2005/
79,79,Probabilistic Systems Analysis and Applied Probability,,https://ocw.mit.edu/courses/6-041sc-probabilistic-systems-analysis-and-applied-probability-fall-2013/
80,80,Artificial Intelligence,"This course introduces students to the basic knowledge representation, problem solving, and learning methods of artificial intelligence. Upon completion of 6.034, students should be able to develop intelligent systems by assembling solutions to concrete computational problems; understand the role of knowledge representation, problem solving, and learning in intelligent-system engineering; and appreciate the role of problem solving, vision, and language in understanding human intelligence from a computational perspective.",https://ocw.mit.edu/courses/6-034-artificial-intelligence-fall-2010/
81,81,User Interface Design and Implementation,"6.831/6.813 examines human-computer interaction in the context of graphical user interfaces. The course covers human capabilities, design principles, prototyping techniques, evaluation techniques, and the implementation of graphical user interfaces. Deliverables include short programming assignments and a semester-long group project. Students taking the graduate version also have readings from current literature and additional assignments.",https://ocw.mit.edu/courses/6-831-user-interface-design-and-implementation-spring-2011/
82,82,Introduction to Algorithms,"This course provides an introduction to mathematical modeling of computational problems. It covers the common algorithms, algorithmic paradigms, and data structures used to solve these problems. The course emphasizes the relationship between algorithms and programming, and introduces basic performance measures and analysis techniques for these problems.",https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-fall-2011/
83,83,Nanomaker,,https://ocw.mit.edu/courses/6-s079-nanomaker-spring-2013/
84,84,Queues: Theory and Applications,"This class deals with the modeling and analysis of queueing systems, with applications in communications, manufacturing, computers, call centers, service industries and transportation. Topics include birth-death processes and simple Markovian queues, networks of queues and product form networks, single and multi-server queues, multi-class queueing networks, fluid models, adversarial queueing networks, heavy-traffic theory and diffusion approximations. The course will cover state of the art results which lead to research opportunities.",https://ocw.mit.edu/courses/15-072j-queues-theory-and-applications-spring-2006/
85,85,Electromagnetics and Applications,"This course explores electromagnetic phenomena in modern applications, including wireless and optical communications, circuits, computer interconnects and peripherals, microwave communications and radar, antennas, sensors, micro-electromechanical systems, and power generation and transmission. Fundamentals include quasistatic and dynamic solutions to Maxwell’s equations; waves, radiation, and diffraction; coupling to media and structures; guided waves; resonance; acoustic analogs; and forces, power, and energy.",https://ocw.mit.edu/courses/6-013-electromagnetics-and-applications-spring-2009/
86,86,Quantitative Physiology: Organ Transport Systems,"This course elaborates on the application of the principles of energy and mass flow to major human organ systems. It discusses mechanisms of regulation and homeostasis. It also discusses anatomical, physiological, and pathophysiological features of the cardiovascular, respiratory, and renal systems. There is emphasis on those systems, features, and devices that are most illuminated by the methods of physical sciences.",https://ocw.mit.edu/courses/hst-542j-quantitative-physiology-organ-transport-systems-spring-2004/
