,Title,Description,Link
17,An Introduction to Logic for Computer Science,"Logic plays a fundamental role in computer science. This course is designed to equip you with a solid understanding of the fundamental principles of logic and their relevance in the field of computer science.  In this course, you'll explore proposition logic and discover its practical applications in problem-solving, algorithm design, and the development of intelligent systems. By engaging in hands-on exercises, exploring real-world examples, and participating in discussions, you'll develop strong logical reasoning and critical thinking skills. 

Join this course to build a solid foundation in logic, enhance your problem-solving abilities, and unlock new opportunities in the world of computer science.

This course is one of many, offered by Click Start, a UK training programme designed to help young people develop digital skills. Click Start offers a limited number of scholarships giving free access to young people in the UK. Check the FAQs to see more detail and follow the link to check if you are eligible for free access today.",https://www.coursera.org/learn/an-introduction-to-logic-in-computer-science
18,Python Programming Fundamentals,"This introductory course is designed for beginners and individuals with limited programming experience who want to embark on their software development or data science journey using Python. Throughout the course, learners will gain a solid understanding of algorithmic thinking, Python syntax, code testing, debugging techniques, and modular code development--essential skills for a successful career in software engineering, development, or data science.  By the end of this course, you will learn to:

- Gain a stepwise approach to problem-solving using algorithms and programming logic.
- Apply common functions, conditional statements, and loops to build Python scripts and programs.
- Work with the VS Code programming environment to enhance coding proficiency.
- Use testing and debugging strategies to ensure code reliability.
- Perform logical and mathematical operations on datasets.

In the final week of the course you will apply your new algorithm design and programming skills to a data analysis problem: analyzing heart rate data.",https://www.coursera.org/learn/python-programming-fundamentals
19,Mathematical Thinking in Computer Science,"Mathematical thinking is crucial in all areas of computer science: algorithms, bioinformatics, computer graphics, data science, machine learning, etc. In this course, we will learn the most important tools used in discrete mathematics: induction, recursion, logic, invariants, examples, optimality. We will use these tools to answer typical programming questions like: How can we be certain a solution exists? Am I sure my program computes the optimal answer? Do each of these objects meet the given requirements? In the online course, we use a try-this-before-we-explain-everything approach: you will be solving many interactive (and mobile friendly) puzzles that were carefully designed to allow you to invent many of the important ideas and concepts yourself.

Prerequisites: 
1. We assume only basic math (e.g., we expect you to know what is a square or how to add fractions), common sense and curiosity. 
2. Basic programming knowledge is necessary as some quizzes require programming in Python.",https://www.coursera.org/learn/what-is-a-proof
20,Introduction to Python Programming,"This course provides an introduction to programming and the Python language.  Students are introduced to core programming concepts like data structures, conditionals, loops, variables, and functions.  This course includes an overview of the various tools available for writing and running Python, and gets students coding quickly.  It also provides hands-on coding exercises using commonly used data structures, writing custom functions, and reading and writing to files. This course may be more robust than some other introductory python courses, as it delves deeper into certain essential programming topics.",https://www.coursera.org/learn/python-programming-intro
21,Cryptography I,"Cryptography is an indispensable tool for protecting information in computer systems. In this course you will learn the inner workings of cryptographic systems and how to correctly use them in real-world applications. The course begins with a detailed discussion of how two parties who have a shared secret key can communicate securely when a powerful adversary eavesdrops and tampers with traffic. We will examine many deployed protocols and analyze mistakes in existing systems. The second half of the course discusses public-key techniques that let two parties generate a shared secret key. Throughout the course participants will be exposed to many exciting open problems in the field and work on fun (optional) programming projects. In a second course (Crypto II) we will cover more advanced cryptographic tasks such as zero-knowledge, privacy mechanisms, and other forms of encryption.",https://www.coursera.org/learn/crypto
22,Introduction to Agile Development and Scrum,"Get started with using Agile Development and Scrum with this self-paced introductory course! After successfully completing this course, you will be able to embrace the Agile concepts of adaptive planning, iterative development, and continuous improvement - resulting in early deliveries and value to customers.  You will look at Scrum as a framework and learn how to apply it alongside Agile. You will also become familiar with related methodologies like Waterfall, Extreme Programming (XP), and Kanban. 

Apply Agile practices derived from lean manufacturing concepts, like test-driven development. Learn how a scrum team functions. Also learn about the importance of Agile iterative planning and enable yourself to write good user stories and track your team’s progress using a kanban board.  

Create and refine a product backlog collaboratively with the team and the customer, in a flexible and blameless culture. You'll also learn how to use burndown charts, achieve sprint goals, and conduct the sprint review and retrospective. This approach will lead you to higher levels of efficiency, with the ability to plan and execute sprints with your development team, measuring success with actionable metrics.  

This course is about more than facts and processes. It is about working collaboratively on a self-organizing team, coached by a scrum master, and building what is needed, rather than simply following a plan. Developed and taught by an experienced Agile practitioner, the course includes hands-on practice through realistic scenario-based labs using GitHub and ZenHub. 

The course will benefit anyone who wants to get started with working the Agile way or transform the organizational culture to adopt and realize the benefits of Scrum. This includes Project Managers, Product Managers, and Executives. It is particularly suitable for IT practitioners such as software developers, development managers, and IT Scrum Masters.",https://www.coursera.org/learn/agile-development-and-scrum
23,Programming for Everybody (Getting Started with Python),"This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python.  The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook “Python for Everybody”.  Once a student completes this course, they will be ready to take more advanced programming courses. This course covers Python 3.",https://www.coursera.org/learn/python
24,"Problem Solving, Python Programming, and Video Games","This course is an introduction to computer science and programming in Python.  Upon successful completion of this course, you will be able to: 1.  Take a new computational problem and solve it, using several problem solving techniques including abstraction and problem decomposition.
2.  Follow a design creation process that includes: descriptions, test plans, and algorithms.
3.  Code, test, and debug a program in Python, based on your design.

Important computer science concepts such as problem solving (computational thinking), problem decomposition, algorithms, abstraction, and software quality are emphasized throughout.

This course uses problem-based learning. The Python programming language and video games are used to demonstrate computer science concepts in a concrete and fun manner. The instructional videos present Python using a conceptual framework that can be used to understand any programming language. This framework is based on several general programming language concepts that you will learn during the course including: lexics, syntax, and semantics.

Other approaches to programming may be quicker, but are more focused on a single programming language, or on a few of the simplest aspects of programming languages. The approach used in this course may take more time, but you will gain a deeper understanding of programming languages. After completing the course,  in addition to learning Python programming, you will be able to apply the knowledge and skills you acquired to: non-game problems, other programming languages, and other computer science courses.

You do not need any previous programming, Python, or video game experience.  However, several basic skills are needed: computer use (e.g., mouse, keyboard, document editing), elementary mathematics, attention to detail (as with many technical subjects), and a “just give it a try” spirit will be keys to your success.  Despite the use of video games for the main programming project, PVG is not about computer games.  For each new programming concept, PVG uses non-game examples to provide a basic understanding of computational principles, before applying these programming concepts to video games.

The interactive learning objects (ILO) of the course provide automatic, context-specific guidance and feedback, like a virtual teaching assistant, as you develop problem descriptions, functional test plans, and algorithms.  The course forums are supported by knowledgeable University of Alberta personnel, to help you succeed.

All videos, assessments, and ILOs are available free of charge.  There is an optional Coursera certificate available for a fee.",https://www.coursera.org/learn/problem-solving-programming-video-games
25,Introduction to Java,"This Course is the first of a series of courses that make up the Core Java Specialization.  The Core Java Specialization, in turn, is part of a series of programming specializations, derived from LearnQuest's private Java Bootcamps, designed to provide the skill set necessary to be hired as an IT developer using Java in many corporate environments. This course includes hands-on practice and will give you a solid knowledge of the Java language. After completing this course, you will be able to identify Java’s benefits, program in basic Java syntax using Java data types, and incorporate branches and loops.

The audience for this course:
-    Anyone interested in learning Java
-    Programmers
-    Technical Managers
-    Application Developers

Prerequisites: To be successful with this course, you should understand the fundamentals of software development in either a procedural or object-oriented language.",https://www.coursera.org/learn/java-introduction
26,Basic Mathematics,"Welcome to Basic Mathematics course! This course provides elementary introduction to basic mathematics concepts and their applications. In this course, you will be introduced to Complex Numbers, Quadratic Equations, Trigonometry, Matrices, Differential Calculus, Integral Calculus and Ordinary Differential Equations along with the applications of each concept. After completing this course, you will be able to use basic mathematics concepts effectively and also will be able to apply the concepts in real-world problems.",https://www.coursera.org/learn/basicmathematics
27,"Dynamic Programming, Greedy Algorithms","This course covers basic algorithm design techniques such as divide and conquer, dynamic programming, and greedy algorithms. It concludes with a brief introduction to intractability (NP-completeness) and using linear/integer programming solvers for solving optimization problems. We will also cover some advanced topics in data structures. This course can be taken for academic credit as part of CU Boulder’s MS in Data Science or MS in Computer Science degrees offered on the Coursera platform. These fully accredited graduate degrees offer targeted courses, short 8-week sessions, and pay-as-you-go tuition. Admission is based on performance in three preliminary courses, not academic history. CU degrees on Coursera are ideal for recent graduates or working professionals. Learn more: 

MS in Data Science: https://www.coursera.org/degrees/master-of-science-data-science-boulder 

MS in Computer Science: https://coursera.org/degrees/ms-computer-science-boulder",https://www.coursera.org/learn/dynamic-programming-greedy-algorithms
28,Introduction to Back-End Development,"Welcome to Introduction to Back-End Development, the first course in the Meta Back-End Developer program.   This course is a good place to start if you want to become a web developer. You will learn about the day-to-day responsibilities of a web developer and get a general understanding of the core and underlying technologies that power the internet. You will learn how front-end developers create websites and applications that work well and are easy to maintain. 

You’ll be introduced to the core web development technologies like HTML and CSS and get opportunities to practice using them. You will also be introduced to modern UI frameworks such as Bootstrap and React that make it easy to create interactive user experiences. 

By the end of the course, you will be able to: 
- Describe the front-end developer role 
- Explain the core and underlying technologies that power the internet 
- Use HTML to create a simple webpage 
- Use CSS to control the appearance of a simple webpage 
- Explain what React is 
- Describe the applications and characteristics of the most popular UI frameworks 

For the final project in this course, you will create and edit a webpage using HTML and the Bootstrap CSS framework. Using a responsive layout grid, you will construct a responsive webpage containing text and images that looks great on any size screen. 

This is a beginner course intended for learners eager to learn the fundamentals of web development. To succeed in this course, you do not need prior web development experience, only basic internet navigation skills and an eagerness to get started with coding.",https://www.coursera.org/learn/introduction-to-back-end-development
29,Introduction to User Experience Design ,"The focus of this course is to introduce the learner to User Experience (UX) Design User Experience design is design that is user centered. The goal is to design artifacts that allow the users to meet their needs in the most effective efficient and satisfying manner. The course introduces the novice to a cycle of discovery and evaluation and a set of techniques that meet the user's needs.

This course is geared toward the novice. It is for learners that have heard about ""user experience"" or ""user interface"" design but don't really know much about these disciplines.

The course mantra is that “Design is a systematic and data driven process.” Design is systematic because it is based on a set of techniques and also on a cycle of discovery.

In this course the learner is introduced to the four step user interface design cycle. Along the way learners are exposed to a set of techniques to gather information about a) what the user needs b)how to design and model interfaces based on these and then how to evaluate the design to ascertain that the user's goals are met. These techniques are tools that are used in a standardized manner and give us the data we use in our design.

This means that anyone (regardless of their current training) that is willing to learn these techniques and follow the proposed cycle can be a UX designer!",https://www.coursera.org/learn/user-experience-design
30,APIs,"Delve deeper into the processes and concepts behind APIs and their infrastructure. Explore the key concepts that underpin API development and the principles of representational state transfer architectural style (REST) architecture. Build basic API and REST data backbones for web apps using Django. Discover emerging API technology and practice other ways to build and work with APIs. Finally, you will test, optimize and develop documentation for an API. By the end of this course you will be able to:

• Work with and build APIs
• Build basic API and REST data backbones for web apps using Django
• Discover emerging API technology 
• Test, optimize and develop documentation for an API

To complete this course, you will need Django experience.  Additionally, it always helps to have a can-do attitude!",https://www.coursera.org/learn/apis
31,An Introduction to Programming using Python,"Maximise your employability, by learning the basics of coding in Python. Python is a versatile programming language used for developing websites and software, task automation, data analysis and more.  In this course, you'll embark on an exciting journey into the world of Python and gain valuable skills that will enable you to start thinking about a career in programming.

Through exercises and practical projects, you will gain confidence and deepen your understanding of coding in Python. By the end of the course, you will be able to showcase your skills by programming a small robot to navigate obstacles. 

Join us on this transformative journey and unlock the boundless potential of Python programming to discover the opportunities awaiting you in the world of development.

This course is offered by Click Start, a nationwide training programme designed to help young people develop digital skills. Click Start offers a limited number of scholarships giving free access to young people in the UK. Follow the link in the Click Start bio to check if you are eligible for free access!",https://www.coursera.org/learn/an-introduction-to-programming-using-python
32,"Introduction to Web Development with HTML, CSS, JavaScript","Want to take the first steps to become a Web Developer? This course will help you discover the languages, frameworks, and tools that you will need to create interactive and engaging websites right from the beginning.   You will begin by learning about the roles of front-end, back-end, and full-stack developers and how they work together on development projects. Through this, you will also become familiar with the terminology and skills needed in your career as a web developer.  

Next, you will explore the languages needed for developing websites or applications. You will gain a thorough understanding of HTML and CSS and learn how a combination of both technologies can help developers create the structure and style of their websites.  

Finally, you will learn how JavaScript can make your webpages dynamic with features that include interactive forms, dynamic content modification, and sophisticated menu systems. 

By learning the fundamentals of HTML5, CSS, and JavaScript you will be able to combine them to:  
- create the basic structure of a website  
- create format and layout for web applications 
- enhance your website and create rich, interactive applications 
- increase user interactivity and enhance user experience 
- give your website a real wow factor! 

In this course you will practice what you learn with numerous hands-on labs. Lastly, you will complete a final project where you will create a webpage to showcase your skills and have a great addition to your portfolio!",https://www.coursera.org/learn/introduction-to-web-development-with-html-css-javacript
33,C++ Basics: Selection and Iteration,"Code and run your first C++ program in minutes without installing anything! This course is designed for learners with no coding experience, providing a solid foundation of not just C++, but core Computer Science topics that can be transferred to other languages. The modules in this course cover printing, operators, iteration (i.e., loops), and selection (i.e., conditionals).

To allow for a truly hands-on, self-paced learning experience, this course is video-free. Assignments contain short explanations with images and runnable code examples with suggested edits to explore code examples further, building a deeper understanding by doing. You'll benefit from instant feedback from a variety of assessment items along the way, gently progressing from quick understanding checks (multiple choice, fill in the blank, and un-scrambling code blocks) to small, approachable coding exercises that take minutes instead of hours.",https://www.coursera.org/learn/codio-cpp-basics
34,Introduction to Programming,"Designed for the not-yet-experienced programmer, this course will provide you with a structured foundation for developing complex programs in the fields of computer science or data science. If you are a self-taught programmer with scattered bits of understanding, or a complete novice, this is the course for you. Here, you will gain a thorough understanding of how to write programs to solve problems, through structured, scaffolded, hands-on exercises with many examples and opportunities to practice. You will learn the foundational concepts of computer science by developing programs in the python programming language (one of the most commonly used languages).  

We will also use many of the most common python packages -- why reinvent the wheel when you can use well-tested, flexible, pre-built solutions? While these packages can save significant time, it is also important to understand how they do their magic, and if your particular problem is the right fit to be solved by these potential tools.  You will encounter the following python packages: numpy, scipy, matplotlib, pandas, seaborn, re (for regular expressions), textblob, nltk, and others.

In the process of learning how to program, we will explore different topics at the introductory level, including natural language processing and data analytics.

By the end of this course, you will be confident in your ability to solve a problem using the python programming language -- and how to verify that your solution is accurate.",https://www.coursera.org/learn/ball-state-university-introduction-to-programming-open-content
35,Software Defined Networking,"In this course, you will learn about software defined networking and how it is changing the way communications networks are managed, maintained, and secured.",https://www.coursera.org/learn/sdn
36,C for Everyone: Structured Programming,"In the new world we live in, coding is a universally valuable skill, whether you're a scientist, artist, or a humanist. Algorithms are everywhere, and we all have to understand how they work. The C language is particularly well suited as an introduction to coding: It's a tried-and-true language, and it allows you to understand computing processes at a deep level. You will also get an introduction to more advanced programming in C++ in the final module.  This is a continuation of C for Everyone: Fundamentals, which you should take before beginning this course. 
The time estimated time commitment for this course is five hours a week for five weeks.",https://www.coursera.org/learn/c-structured-programming
37,Calculus for Machine Learning and Data Science,"After completing this course, learners will be able to: •  Analytically optimize different types of functions commonly used in machine learning using properties of derivatives and gradients 
•  Approximately optimize different types of functions commonly used in machine learning using first-order (gradient descent) and second-order (Newton’s method) iterative methods
• Visually interpret differentiation of different types of functions commonly used in machine learning
• Perform gradient descent in neural networks with different activation and cost functions 

Mathematics for Machine Learning and Data science is a foundational online program created by DeepLearning.AI and taught by Luis Serrano. This beginner-friendly program is where you’ll master the fundamental mathematics toolkit of machine learning.

Many machine learning engineers and data scientists need help with mathematics, and even experienced practitioners can feel held back by a lack of math skills. This Specialization uses innovative pedagogy in mathematics to help you learn quickly and intuitively, with courses that use easy-to-follow plugins and visualizations to help you see how the math behind machine learning actually works. 

Upon completion, you’ll understand the mathematics behind all the most common algorithms and data analysis techniques — plus the know-how to incorporate them into your machine learning career.

This is a beginner-friendly program, with a recommended background of at least high school mathematics (functions, basic algebra). We also recommend a basic familiarity with Python (loops, functions, if/else statements, lists/dictionaries, importing libraries) , as labs use Python and Jupyter Notebooks to demonstrate learning objectives in the environment where they’re most applicable to machine learning and data science.",https://www.coursera.org/learn/machine-learning-calculus
