,Title,Description,Link
10,Service-Oriented Architecture,"Based on an understanding of architectural styles, you will review architectures for web applications, then explore the basics of Service-Oriented Architecture (SOA) in two approaches: Web Services (WS*) and Representational State Transfer (REST) architecture.  In the Capstone Project you will connect a Java-based Android application with Elasticsearch, a web service with a REST application programmer interface (API).

After completing this course, you will be able to: 
• Describe SOA (Service-Oriented Architecture) to structure web-based systems.
• Explain WS* services (i.e., SOAP over HTTP, WSDL, UDDI, BPEL). 
• Apply REST architecture (i.e., JSON over HTTP, URI). 
• Identify REST design principles. 
• Create a system using REST interfaces. 
• Apply microservice architecture.",https://www.coursera.org/learn/service-oriented-architecture
11,Big Data Analysis with Scala and Spark,"Manipulating big data distributed over a cluster using functional concepts is rampant in industry, and is arguably one of the first widespread industrial uses of functional ideas. This is evidenced by the popularity of MapReduce and Hadoop, and most recently Apache Spark, a fast, in-memory distributed collections framework written in Scala. In this course, we'll see how the data parallel paradigm can be extended to the distributed case, using Spark throughout. We'll cover Spark's programming model in detail, being careful to understand how and when it differs from familiar programming models, like shared-memory parallel collections or sequential Scala collections. Through hands-on examples in Spark and Scala, we'll learn when important issues related to distribution like latency and network communication should be considered and how they can be addressed effectively for improved performance. Learning Outcomes. By the end of this course you will be able to:

- read data from persistent storage and load it into Apache Spark,
- manipulate data with Spark and Scala,
- express algorithms for data analysis in a functional style, 
- recognize how to avoid shuffles and recomputation in Spark,

Recommended background: You should have at least one year programming experience. Proficiency with Java or C# is ideal, but experience with other languages such as C/C++, Python, Javascript or Ruby is also sufficient. You should have some familiarity using the command line. This course is intended to be taken after Parallel Programming: https://www.coursera.org/learn/parprog1.",https://www.coursera.org/learn/scala-spark-big-data
12,Securing Linux Systems,"In this course, we look at security and the Linux operating system. The course material is a good for anyone preparing for the Linux Foundation Certified IT Associate (LFCA) exam or just interested in learning more about Linux. This course is the third course in a series that aims to prepare you for working as an information technology professional. In this course, you will be introduced to ownership, authentication, and authorization.  We will drill into creating security through backups and redundancy.  We concluded by looking at how to secure the perimeter of our network and systems.",https://www.coursera.org/learn/securing-linux-systems
13,Introduction to Parallel Programming with CUDA,"This course will help prepare students for developing code that can process large amounts of data in parallel on Graphics Processing Units (GPUs). It will learn on how to implement software that can solve complex problems with the leading consumer to enterprise-grade GPUs available using Nvidia CUDA. They will focus on the hardware and software capabilities, including the use of 100s to 1000s of threads and various forms of memory.",https://www.coursera.org/learn/introduction-to-parallel-programming-with-cuda
14,Advanced Programming in Kotlin,"In this course, you will expand your Kotlin fluency by exploring the advanced concepts used by many Kotlin programmers. You will learn the more advanced features of Kotlin that are required to build a robust, functional Android app.   Each week’s learning provides ample opportunity for you to practice and apply what you learn as you learn it.

By the end of this course, you will have an array of advanced programming tools to help you engineer solutions for your future Kotlin projects, progressing you toward a better understanding of Android development. On successful completion of the course you will be able to:
Implement an Android application with an Activity
Implement advanced object-oriented features in Android
Use mocks and fakes to perform unit testing in Android
Use a Lambda expression to define a function as an object
Use collection processing methods for multistep collection processing

To be successful in this course, you require a foundational understanding of Kotlin programming fundamentals and of creating a  UI in Android Studio.",https://www.coursera.org/learn/advanced-programming-in-kotlin
15,Learn React,"The ultimate React 101 - the perfect starting point for any React beginner. Learn the basics of modern React by solving 140+ interactive coding challenges and building eight fun projects. In this 143-part interactive tutorial, you'll learn how to build dynamic, interactive web applications with React.js.

With Scrimba’s head of education, Bob Ziroll, as a guide, you’ll get to know all the bang-up-to-date features of React and fix them firmly in your memory by using them to create hands-on projects.

React is a free and open-source front-end JavaScript library. It was created by the developers at Facebook for use in their own products, including Facebook, Instagram, and WhatsApp . React is also used by Netflix, The New York Times, AirBnb, Discord, DropBox, and many other big companies. In short, it is one of the most popular JavaScript libraries in the world.

This course is filled with coding challenges that you'll complete by writing React code directly inside the Scrimba screencasts. Before you know it, you'll have written eight interactive React applications!

This course is designed to help you learn to code in a way that sticks - no more tutorial Hell.

We achieve this by stuffing the course full to the brim of interactive challenges, allowing you to develop the muscle memory you need to become a truly effective React developer.

You’ll also benefit from spaced learning and repetition in this course. Make sure you give yourself time (days/weeks) to finish it, and include lots of breaks. Don't try cramming it all in at once.

Once you are done, you will feel confident in your React skills and be ready to continue your coding journey.",https://www.coursera.org/learn/learn-react
16,Frontend Development using React,"Welcome to the Frontend Development using React course! In this program, you will learn the fundamentals of frontend development and how to build web applications using the React library. The course is best suitable for people with familiarity with web development.

The first module, Introduction to HTML & CSS, will introduce you to the basics of HTML and CSS, which are the building blocks of web development. You will learn how to structure content with HTML and apply styles to your web pages with CSS.

The second module, Introduction to JavaScript Programming, will teach you the fundamentals of JavaScript, the programming language that powers interactive web applications. You will learn about variables, data types, control structures, functions, and more.

In the third module, React for Frontend Development, you will dive into React, a popular JavaScript library for building user interfaces. You will learn how to set up a React project, create components, and manage state in your application.

By the end of this course, you will have a solid understanding of frontend development principles and how to use React to build interactive and dynamic web applications.",https://www.coursera.org/learn/frontend-development-using-react
17,Linux Cloud and DevOps,"In this course, we look at Cloud, DevOps and the Linux operating system. The course material is a good for anyone preparing for the Linux Foundation Certified IT Associate (LFCA) exam or just interested in learning more about Linux. This course is the fourth course in a series that aims to prepare you for working as an information technology professional.",https://www.coursera.org/learn/linux-cloud-devops
18,Introduction to Risk Management,"In this course, you will learn about risk assessment techniques and how to implement a number of strategies that will ensure the protection of assets. You will learn about the relationship between assets, vulnerabilities, threats, and risks. You will also engage with a number of current case studies in the industry that illustrate the material. You will leave the course with skills relating to threat modeling and business continuity planning that have direct applications at your current job or in your future career.",https://www.coursera.org/learn/risk-management-threat-modeling
19,Advanced C# Programming in .NET Core,"Embark on a journey to master Advanced C# Programming in .NET Core through our comprehensive course. Explore the intricacies of Advanced Language Features, unlocking the full potential of C# to refine your coding skills. Dive into Object-Oriented Programming Techniques, achieving proficiency in design patterns and crucial principles for crafting scalable applications. Enhance your expertise in Advanced Data Access, mastering database optimization and efficient data retrieval specific to .NET Core. Navigate the complexities of Error Handling and Logging, ensuring the creation of robust and secure applications. Tailored for developers seeking to deepen their C# proficiency and leverage the advanced capabilities of .NET Core, this course employs practical exercises and real-world applications. You'll emerge adept at addressing intricate programming challenges, becoming a skilled C# developer in the evolving landscape of .NET Core.",https://www.coursera.org/learn/advanced-c-programming-in-net-core
20,"JavaScript, jQuery, and JSON","In this course, we'll look at the JavaScript language, and how it supports the Object-Oriented pattern, with a focus on the unique aspect of how JavaScript approaches OO. We'll explore a brief introduction to the jQuery library, which is widely used to do in-browser manipulation of the Document Object Model (DOM) and event handling. You'll also learn more about JavaScript Object Notation (JSON), which is commonly used as a syntax to exchange data between code running on the server (i.e. in PHP) and code running in the browser (JavaScript/jQuery). It is assumed that learners have already taken the Building Web Applications and Building Database Applications in PHP courses in this specialization.",https://www.coursera.org/learn/javascript-jquery-json
21,An Introduction to Interactive Programming in Python (Part 1),"This two-part course is designed to help students with very little or no computing background learn the basics of building simple interactive applications. Our language of choice, Python, is an easy-to learn, high-level computer language that is used in many of the computational courses offered on Coursera. To make learning Python easy, we have developed a new browser-based programming environment that makes developing interactive applications in Python simple. These applications will involve windows whose contents are graphical and respond to buttons, the keyboard and the mouse. In part 1 of this course, we will introduce the basic elements of programming (such as expressions, conditionals, and functions) and then use these elements to create simple interactive applications such as a digital stopwatch.  Part 1 of this class will culminate in building a version of the classic arcade game ""Pong"".",https://www.coursera.org/learn/interactive-python-1
22,Evaluating Designs with Users,"When designing systems that work for users, there is no substitute for watching them try to use the system to see what works and what doesn’t. In this UX course, you will learn how to design and conduct tests with users that will tell you how effective your design is for helping users do what they need to do, and how they feel about using your system.

This course is part of the User Experience (UX) Research and Design specialization offered on Coursera.

What you'll learn:

    Identify different approaches to user testing and their appropriate use
    Understand how to design an effective user test
    Understand how to run an effective user test to get the most information possible out of each encounter
    Analyze and report on user testing",https://www.coursera.org/learn/evaluating-designs-with-users
23,Technical Support (IT) Case Studies and Capstone,"In this IBM course, you will apply the knowledge gained from the IT Support Professional Certificate to realistic situations. This capstone course leads you through a series of technical support case studies that require hands-on work to resolve. Upon completing this course, you’ll gain an enriched perspective on employing technical support in professional settings, making you a sought-after IT professional. You’ll navigate a range of hands-on technical support labs crafted to challenge and enhance your problem-solving abilities. You’ll merge theory with practice to analyze user help requests and employ systematic troubleshooting techniques to diagnose and resolve technical issues. A comprehensive understanding of escalation protocols and adept utilization of ticketing systems and diagnostic tools will become second nature to you.

You’ll examine the intricacies of hardware and software across diverse computing platforms, grasp network fundamentals, delve into security, and explore the cloud computing landscape. You will have the opportunity to sharpen your communication skills and master conflict mitigation and de-escalation techniques, culminating in a comprehensive customer service orientation. By the end of this course, you will better understand how to use your technical support skills in everyday professional settings.

This course assumes that you are already familiar with IT fundamentals knowledge. If you do not have this knowledge, it is recommended that you complete the previous courses in the IBM IT Support Professional Certificate before starting this course.

Learners who complete and pass all courses in the IT Support Professional Certificate will receive a 30% discount voucher for a CompTIA Certification exam.",https://www.coursera.org/learn/technical-support-case-studies
24,Introduction to Programming in Swift 5,"Welcome to Introduction to Programming in Swift 5. In this course we will introduce you to the absolute basics of the Swift programming language.  Whether you are a brand new programmer or have experience with other programming languages this course is for you.

Some of the things you will learn in this course are:

• An Introduction to Swift 5 programming concepts
• Installing the necessary tools
• Working with data such as Integers and Strings
• Creating reusable code with functions
• Working with data constructs such as arrays and dictionaries
• Object-oriented programming
• Model View Controller

By the end of this course you will know how to build simple programs with the Swift programming language and you will be ready to learn iOS mobile development.",https://www.coursera.org/learn/swift-5-programming-introduction
25,Object-Oriented Hierarchies in Java,"Object-Oriented Hierarchies in Java is the third of a series of courses in the Core Java Specialization. The Core Java Specialization is part of a series of programming specializations, derived from LearnQuest's private Java Bootcamps, designed to provide the skill set necessary to be hired as an IT developer using Java in many corporate environments. This course includes hands-on practice and will help you build on your knowledge of the Java language. After completing this course, you will have a deeper understanding of how to effectively implement and use inheritance and polymorphism in Java.

To be successful in this course, you should have taken: 
- Course 1: Introduction to Java
- Course 2: Introduction to Object-Oriented Programming with Java

 or have equivalent knowledge.",https://www.coursera.org/learn/object-oriented-hierarchies-java
26,More C# Programming and Unity,"This course is the second course in the specialization about learning how to develop video games using the C# programming language and the Unity game engine on Windows or Mac. Why use C# and Unity instead of some other language and game engine? Well, C# is a really good language for learning how to program and then programming professionally. Also, the Unity game engine is very popular with indie game developers; Unity games were downloaded 16,000,000,000 times in 2016! Finally, C# is one of the programming languages you can use in the Unity environment. This course assumes you have the prerequisite knowledge from the previous course in the specialization. You should make sure you have that knowledge, either by taking that previous course or from personal experience, before tackling this course. Throughout this course you'll continue building your foundational C# and Unity knowledge by exploring more C# and Unity topics and finishing the Unity game you started at the end of the previous course.

Module 1: Learn how we make decisions in our code
Module 2: Learn how to get and use player input in your Unity games 
Module 3: Learn how to use iteration (looping) to repeat actions in your code
Module 4: Learn how we can store lots of data in arrays and lists 

“Unity” is a trademark or registered trademark of Unity Technologies or its affiliates in the U.S. and elsewhere.

This course is an independent work and is not sponsored by, authorized by, or affiliated with Unity Technologies or its affiliates",https://www.coursera.org/learn/more-programming-unity
27,Advanced Programming in Swift,"At the heart of any remarkable iOS applies a thorough understanding of the Swift programming language. Embark on a journey to expand your knowledge and skillset with Advanced Programming in Swift. Discover Swift’s advanced custom data types, explore code organization best practices, tap into error handling to improve your program’s performance, and foster an understanding of programming the functional way with higher-order functions like map, filter and reduce. Then, to further understand the inner workings of successful app development, learn how to implement unit tests to ensure that your applications function as intended. By the end of this course, you will practice creating the functionality you often encounter in apps with large lists of items. You’ll implement advanced programming concepts including higher-order functions to process collections and build your own list in Xcode.

Upon completion of this course, you will be able to:
• Create custom data types including enumerations and sets.
• Organize and optimize your code by using subclassing and inheritance, typecasting and polymorphism.
• Discover how to set restrictions in your code using access control.
• Create blueprints for your code with optional and required protocols.
• Give control and pass responsibilities from one instance to another with delegation.
• Employ appropriate error handling approaches, implement throwable functions and catch errors.
• Describe what recursion is and identify common use cases.
• Implement higher-order functions like map, filter and reduce.
• Ensure your applications perform as expected by implementing unit tests.

This course is ideal for intermediate learners who would like to prepare themselves for a career in iOS development. To succeed in this course, you need a foundational understanding of the programming fundamentals of Swift and SwiftUI.",https://www.coursera.org/learn/advanced-programming-in-swift
28,Introduction to Virtual Reality,"This course will introduce you to Virtual Reality (VR). The course will teach you everything from the basics of VR- the hardware and the history of VR- to different applications of VR, the psychology of Virtual Reality, and the challenges of the medium. The course is designed for people who are new to VR as a medium. You may have experienced some virtual reality before, and may have some hardware- but this course is suitable to individuals who have never experienced VR and those who do not have much hardware- we will explain Mobile VR as well as devices such as the Oculus Rift and HTC Vive.

Introduction to Virtual Reality is the first course in the Virtual Reality Specialisation. A learner with no previous experience in Virtual Reality and/or game programming will be able to evaluate existing VR applications, and design, test, and implement their own VR experiences/games using Unity by the end of the specialisation.",https://www.coursera.org/learn/introduction-virtual-reality
29,Advanced Data Engineering,"In this advanced course, you will gain practical expertise in scaling data engineering systems using cutting-edge tools and techniques. This course is designed for data scientists, data engineers, and anyone with a foundational understanding of data handling who desires to escalate their skills to handle larger, more complex datasets efficiently. Throughout the course, you'll master the application of technologies such as Celery with RabbitMQ for scalable data consumption, Apache Airflow for optimized workflow management, and Vector and Graph databases for robust data management at scale.

The course will culminate with hands-on projects that offer real-world experience, where you'll put your acquired skills to test in solving data engineering challenges. You will not only learn to create scalable data systems but also to analyze their performance and make necessary adjustments for optimum results.

This invaluable experience in advanced data engineering techniques will prepare you for the demanding tasks of handling massive datasets, streamlining complex workflows, and optimizing data operations for businesses of any scale.",https://www.coursera.org/learn/advanced-data-engineering
30,Mobile Development and JavaScript,"This course is the first in a series that will allow you to expand your skills as an Android developer into the world of cross-platform mobile development. This will allow you to use your foundations as an Android developer to build cross-platform mobile applications. The first step in this expansion is learning to program in JavaScript. This will prepare you to learn to use the React library for mobile development. JavaScript is the programming language that powers the modern web. In this course, you will learn the basic concepts of web development with JavaScript. You will work with functions, objects, arrays, variables, data types, the HTML DOM, and much more. You will learn how to use JavaScript and discover interactive possibilities with modern JavaScript technologies. Finally, you will learn about the practice of testing code and how to write a unit test using Jest.

This course can be applied to multiple Specializations or Professional Certificates programs. Completing this course will count towards your learning in any of the following programs:
• Meta Android Developer Professional Certificate
• Meta iOS Developer Professional Certificate


By the end of this course you will be able to:

• Explain the basic concepts of web development with Javavscript. 
• Practice using functions, objects, arrays, variables, data types, the HTML DOM, and much more. 
• Use JavaScript within the React framework 
• Practice testing code and how to write a unit test using Jest",https://www.coursera.org/learn/mobile-development-and-javascript
31,Agile Software Development,"Software industry is going crazy on agile methods.  It is rapidly becoming the choice for software development where requirements are unpredictable or is expected to change over time. This course will help you gain knowledge on what is agile? Why agile is better suited for these situations?  We will also cover some of the most common agile frameworks like scrum and XP in depth.   Prerequisite: You need basic knowledge of software development process and software development methodologies. 

After completing this course, you will be able to :
1) Demonstrate the ability to participate effectively in agile practices/process for software development.  
2) Explain the purpose behind common agile practices.
3) Ability to apply agile principles and values to a given situation.
4) Ability to identify and address most common problems encountered in adopting Agile methods. 

Project: You will also be given opportunity to apply what you learn in this course.  You will be given fictional case studies, where after studying the case study, you will have to exercise some of the practices, techniques, etc that team members of an agile team members are expected to know.",https://www.coursera.org/learn/agile-software-development
32,C++ Programming: Classes and Data,"This course is the second of five courses aiming to help you to become confident working in the object-oriented paradigm in the C++ language.  This specialisation is for individuals who want to learn about objected oriented programming. It's an all-in-one package that will take you from the very fundamentals of C++, all the way to building a crypto-currency exchange platform.

During the five courses, you will work with the instructor on a single project: a crypto-currency exchange platform. Whilst building the project, you will learn about a range of programming techniques from basic control flow and input/output through to file parsing, object-oriented techniques and user interaction on the console. 

In this second course, you will start learning about C++ classes.  You will learn about header files, class member functions, and select appropriate data types to represent a dataset in a C++ program. 

Upon completing the course, you will be able to:

* Select appropriate data types to represent a dataset in a C++ program
* Describe how a class can be used to combine multiple pieces of data into one unit
* Write a class with functions",https://www.coursera.org/learn/cplusplus-crypto-ii
33,Programming and Application Foundations,"This course introduces the students to the creation and deployment of modern, standards-compliant web pages written in HTML, CSS, and JavaScript in the context of the client-server architecture of the web. The course also covers the fundamentals of programming in a modern programming language, basic data modeling, database design, implementation, and administration of single-user and shared multi-user database applications using a contemporary relational database management system. The course aims to provide the students with an end-to-end understanding of web application development, from front-end to back-end and deployment. At the end of this course, students will be able to:
• Create and style web pages using HTML and CSS.
• Add interactivity and functionality to web pages using JavaScript.
• Use web development tools and frameworks to simplify and enhance web development.
• Describe the client-server model and the HTTP protocol.
• Use a modern programming language to write scripts and programs.
• Apply basic programming concepts such as variables, data types, operators, expressions, control 
        structures, functions, and objects.
• Use data structures and algorithms to solve problems and manipulate data.
• Design, implement, and query relational databases using SQL.
• Connect web pages to databases using server-side scripting.
• Deploy web applications to a web server and a cloud platform.

Software Requirements: Visual Studio Code; Use of CodeSpace recommended to build and test web applications - https://github.com/features/codespaces; 
MySQL - https://dev.mysql.com/downloads/workbench/ 
Other tools as specified in the modules .",https://www.coursera.org/learn/illinois-tech-programming-and-application-foundations
34,Architecting with Google Kubernetes Engine: Workloads,"In this course, ""Architecting with Google Kubernetes Engine: Workloads,"" you learn about performing Kubernetes operations; creating and managing deployments; the tools of GKE networking; and how to give your Kubernetes workloads persistent storage. This is the second course of the Architecting with Google Kubernetes Engine series. After completing this course, enroll in the Architecting with Google Kubernetes Engine: Production course.",https://www.coursera.org/learn/deploying-workloads-google-kubernetes-engine-gke
35,Industrial IoT Markets and Security,"This course can also be taken for academic credit as ECEA 5385, part of CU Boulder’s Master of Science in Electrical Engineering degree. Developing tomorrow's industrial infrastructure is a significant challenge. This course goes beyond the hype of consumer IoT to emphasize a much greater space for potential embedded system applications and growth: The Industrial Internet of Things (IIoT), also known as Industry 4.0. Cisco’s CEO stated: “IoT overall is a $19 Trillion market. IIoT is a significant subset including digital oilfield, advanced manufacturing, power grid automation, and smart cities”.

This is part 1 of the specialization. The primary objective of this specialization is to closely examine emerging markets, technology trends, applications and skills required by engineering students, or working engineers, exploring career opportunities in the IIoT space. The structure of the course is intentionally wide and shallow: We will cover many topics, but will not go extremely deep into any one topic area, thereby providing a broad overview of the immense landscape of IIoT. There is one exception: We will study security in some depth as this is the most important topic for all ""Internet of Things"" product development.

In this course students will learn :
  * What Industry 4.0 is and what factors have enabled the IIoT
  * Key skills to develop to be employed in the IIoT space
  * What platforms are, and also market information on Software and Services
  * What the top application areas are (examples include manufacturing and oil & gas)
  * What the top operating systems are that are used in IIoT deployments
  * About networking and wireless communication protocols used in IIoT deployments
  * About computer security; encryption techniques and secure methods for insuring data integrity and authentication",https://www.coursera.org/learn/industrial-iot-markets-security
36,Introduction to Blockchain for Financial Services,"In this first course of the specialization, we will discuss the limitations of the Internet for business and economic activity, and explain how blockchain technology represents the way forward. After completing this course, you will be able to explain what blockchain is, how it works, and why it is revolutionary. You will learn key concepts such as mining, hashing, proof-of-work, public key cryptography, and the double-spend problem. You’ll be able to describe seven design principles for blockchain technology, and the challenges facing the people developing it. You’ll also meet the players in the blockchain ecosystem, and consider your own role in stewarding the blockchain revolution.",https://www.coursera.org/learn/intro-blockchain-financial-services
37,Overview of Advanced Methods of Reinforcement Learning in Finance,"In the last course of our specialization, Overview of Advanced Methods of Reinforcement Learning in Finance, we will take a deeper look into topics discussed in our third course, Reinforcement Learning in Finance. In particular, we will talk about links between Reinforcement Learning, option pricing and physics, implications of Inverse Reinforcement Learning for modeling market impact and price dynamics, and perception-action cycles in Reinforcement Learning. Finally, we will overview trending and potential applications of Reinforcement Learning for high-frequency trading, cryptocurrencies, peer-to-peer lending, and more.

After taking this course, students will be able to 
- explain fundamental concepts of finance such as market equilibrium, no arbitrage, predictability,
- discuss market modeling,
- Apply the methods of Reinforcement Learning to high-frequency trading, credit risk peer-to-peer lending, and cryptocurrencies trading.",https://www.coursera.org/learn/advanced-methods-reinforcement-learning-finance
